frame_index,time_seconds,segment_id,roi_id,intensity,background,exposure_ms
0,0,S0,ROI-A,21.0000,20,100.0
1,1,S0,ROI-A,22.0120,21,110.0
2,2,S0,ROI-A,23.0200,22,120.0
3,3,S0,ROI-A,23.7900,23,100.0
4,4,S0,ROI-A,24.8140,24,110.0
5,5,S0,ROI-A,25.8400,25,120.0
6,6,S0,ROI-A,27.3500,26,100.0
7,7,S0,ROI-A,27.6930,27,
8,8,S1,ROI-B,30.9360,30,120.0
9,9,S1,ROI-B,32.0000,31,100.0
10,10,S1,ROI-B,33.1160,32,120.0
11,11,S1,ROI-B,33.8700,33,100.0
12,12,S1,ROI-B,35.5000,34,120.0
13,13,S1,ROI-B,35.7800,35,100.0
14,14,S1,ROI-B,36.8880,36,120.0
15,15,S1,ROI-B,37.7000,37,0
16,16,S2,ROI-C,40.9450,40,90.0
17,17,S2,ROI-C,41.9500,41,95.0
18,18,S2,ROI-C,42.7250,42,100.0
19,19,S2,ROI-C,43.5513,43,105.0
20,20,S2,ROI-C,44.4191,44,110.0
21,21,S2,ROI-C,45.3186,45,115.0
22,22,S2,ROI-C,46.2220,46,120.0
23,23,S2,ROI-C,47.1812,47,125.0
